date,open,high,low,close,volume
22-08-2006,1.4036,1.441,1.3991,1.4151,91742000
23-08-2006,1.4246,1.441,1.3852,1.4036,94528000
24-08-2006,1.4086,1.4091,1.3737,1.3951,90338000
25-08-2006,1.3862,1.4081,1.3777,1.3981,70852000
28-08-2006,1.4166,1.4465,1.4101,1.442,121348000
29-08-2006,1.445,1.4824,1.434,1.4725,147962000
30-08-2006,1.4749,1.5388,1.4705,1.5298,226066000
31-08-2006,1.534,1.5458,1.5198,1.5378,118940000
01-09-2006,1.5388,1.5862,1.5388,1.5842,131264000
05-09-2006,1.5767,1.6111,1.5582,1.6076,149354000
06-09-2006,1.5842,1.5952,1.5288,1.5363,182282000
07-09-2006,1.5248,1.5283,1.4804,1.4829,178034000
08-09-2006,1.5059,1.5293,1.4934,1.5218,104544000
11-09-2006,1.5079,1.5528,1.4824,1.5358,148076000
12-09-2006,1.5398,1.5932,1.5228,1.5822,130548000
13-09-2006,1.5827,1.5942,1.5647,1.5797,87408000
14-09-2006,1.5732,1.5897,1.5553,1.5787,74114000
15-09-2006,1.5912,1.6331,1.5752,1.6221,205474000
18-09-2006,1.6184,1.6296,1.5902,1.6001,102462000
19-09-2006,1.6081,1.6111,1.5373,1.5752,171440000
20-09-2006,1.5867,1.6366,1.5862,1.6021,170978000
21-09-2006,1.6081,1.6241,1.4999,1.5074,311074000
22-09-2006,1.5074,1.5438,1.4914,1.5383,144980000
25-09-2006,1.5488,1.5947,1.5333,1.5857,132392000
26-09-2006,1.5907,1.6256,1.5862,1.6211,132022000
27-09-2006,1.6101,1.6191,1.5927,1.6126,109396000
28-09-2006,1.6096,1.6126,1.5572,1.5882,149988000
29-09-2006,1.5967,1.6131,1.5732,1.6021,104544000
02-10-2006,1.5952,1.5977,1.5378,1.5398,136300000
03-10-2006,1.5413,1.5962,1.5253,1.5892,160680000
04-10-2006,1.5837,1.6376,1.5612,1.6341,141296000
05-10-2006,1.6301,1.666,1.6161,1.662,169118000
06-10-2006,1.6535,1.6569,1.6211,1.6256,84384000
09-10-2006,1.6206,1.67,1.6187,1.665,105784000
10-10-2006,1.6595,1.675,1.6206,1.6271,126668000
11-10-2006,1.6266,1.6535,1.6096,1.6415,134570000
12-10-2006,1.651,1.6815,1.6276,1.6735,119794000
13-10-2006,1.6635,1.675,1.65,1.662,81346000
16-10-2006,1.6386,1.656,1.6236,1.6261,135388000
17-10-2006,1.6061,1.6266,1.5837,1.6196,132714000
18-10-2006,1.6246,1.6351,1.5962,1.6116,106986000
19-10-2006,1.6046,1.6381,1.6011,1.6231,80752000
